

--------------------------------
﻿"Report PKP per le statistiche d'uso"
"Report di default della PKP sulle statistiche d'uso. E' conforme a COUNTER"
"Metrica: ojs::counter"
"URL del report: https://riviste.unimi.it/index.php/SED/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":70,""month"":""202210""}"

,Tipo,Testata,Città,Nazione,Mese,Conteggio
,"Files della proposta","Società e diritti",Alicante,ES,202210,1
,"Files della proposta","Società e diritti","Ann Arbor",US,202210,2
,"Files della proposta","Società e diritti",Anzio,IT,202210,1
,"Files della proposta","Società e diritti",Appiano,IT,202210,1
,"Files della proposta","Società e diritti",Aradeo,IT,202210,1
,"Files della proposta","Società e diritti",Aragona,IT,202210,1
,"Files della proposta","Società e diritti",Arco,IT,202210,1
,"Files della proposta","Società e diritti",Arezzo,IT,202210,2
,"Files della proposta","Società e diritti","Ariano Irpino",IT,202210,1
,"Files della proposta","Società e diritti",Ashburn,US,202210,5
,"Files della proposta","Società e diritti",Asolo,IT,202210,1
,"Files della proposta","Società e diritti","Atizapán De Zaragoza",MX,202210,1
,"Files della proposta","Società e diritti",Aucamville,FR,202210,1
,"Files della proposta","Società e diritti",Avellino,IT,202210,1
,"Files della proposta","Società e diritti","Baia Mare",RO,202210,1
,"Files della proposta","Società e diritti",Bari,IT,202210,9
,"Files della proposta","Società e diritti",Battipaglia,IT,202210,1
,"Files della proposta","Società e diritti",Beaverton,US,202210,1
,"Files della proposta","Società e diritti",Beijing,CN,202210,1
,"Files della proposta","Società e diritti",Beinasco,IT,202210,1
,"Files della proposta","Società e diritti","Bella Vista",PA,202210,1
,"Files della proposta","Società e diritti",Benevento,IT,202210,4
,"Files della proposta","Società e diritti",Bergamo,IT,202210,3
,"Files della proposta","Società e diritti",Biancavilla,IT,202210,1
,"Files della proposta","Società e diritti",Biassono,IT,202210,1
,"Files della proposta","Società e diritti",Binasco,IT,202210,1
,"Files della proposta","Società e diritti",Bisceglie,IT,202210,1
,"Files della proposta","Società e diritti",Bitetto,IT,202210,1
,"Files della proposta","Società e diritti",Bitonto,IT,202210,1
,"Files della proposta","Società e diritti",Bobbio,IT,202210,1
,"Files della proposta","Società e diritti",Bocale,IT,202210,1
,"Files della proposta","Società e diritti",Bologna,IT,202210,18
,"Files della proposta","Società e diritti",Boscotrecase,IT,202210,1
,"Files della proposta","Società e diritti",Boulder,US,202210,2
,"Files della proposta","Società e diritti",Bovezzo,IT,202210,2
,"Files della proposta","Società e diritti",Brescia,IT,202210,7
,"Files della proposta","Società e diritti",Brindisi,IT,202210,2
,"Files della proposta","Società e diritti",Bucharest,RO,202210,2
,"Files della proposta","Società e diritti","Buenos Aires",AR,202210,1
,"Files della proposta","Società e diritti",Buffalo,US,202210,2
,"Files della proposta","Società e diritti",Burgos,ES,202210,1
,"Files della proposta","Società e diritti",Busalla,IT,202210,1
,"Files della proposta","Società e diritti","Busto Arsizio",IT,202210,1
,"Files della proposta","Società e diritti",Cagliari,IT,202210,1
,"Files della proposta","Società e diritti",Caivano,IT,202210,1
,"Files della proposta","Società e diritti",Calarasi,RO,202210,1
,"Files della proposta","Società e diritti",Cambridge,US,202210,6
,"Files della proposta","Società e diritti",Capannori,IT,202210,1
,"Files della proposta","Società e diritti",Caracas,VE,202210,2
,"Files della proposta","Società e diritti","Casale Sul Sile",IT,202210,2
,"Files della proposta","Società e diritti",Casalpusterlengo,IT,202210,1
,"Files della proposta","Società e diritti","Casalvecchio Siculo",IT,202210,1
,"Files della proposta","Società e diritti",Caserta,IT,202210,1
,"Files della proposta","Società e diritti","Cassano D'adda",IT,202210,1
,"Files della proposta","Società e diritti",Castellón,ES,202210,1
,"Files della proposta","Società e diritti",Castenedolo,IT,202210,2
,"Files della proposta","Società e diritti",Catania,IT,202210,9
,"Files della proposta","Società e diritti",Cattolica,IT,202210,3
,"Files della proposta","Società e diritti","Cava De' Tirreni",IT,202210,1
,"Files della proposta","Società e diritti",Cecina,IT,202210,1
,"Files della proposta","Società e diritti","Celle Ligure",IT,202210,2
,"Files della proposta","Società e diritti",Cervia,IT,202210,1
,"Files della proposta","Società e diritti",Cesena,IT,202210,2
,"Files della proposta","Società e diritti",Cheyenne,US,202210,1
,"Files della proposta","Società e diritti",Chicago,US,202210,1
,"Files della proposta","Società e diritti",Ciampino,IT,202210,1
,"Files della proposta","Società e diritti","Cinisello Balsamo",IT,202210,1
,"Files della proposta","Società e diritti",Civitavecchia,IT,202210,2
,"Files della proposta","Società e diritti",Collegno,IT,202210,1
,"Files della proposta","Società e diritti",Como,IT,202210,5
,"Files della proposta","Società e diritti",Corbeil-essonnes,FR,202210,2
,"Files della proposta","Società e diritti",Corbetta,IT,202210,1
,"Files della proposta","Società e diritti","Cornate D'adda",IT,202210,1
,"Files della proposta","Società e diritti","Cortina D'ampezzo",IT,202210,4
,"Files della proposta","Società e diritti",Cosenza,IT,202210,1
,"Files della proposta","Società e diritti",Crema,IT,202210,1
,"Files della proposta","Società e diritti",Cremona,IT,202210,2
,"Files della proposta","Società e diritti",Cuajimalpa,MX,202210,1
,"Files della proposta","Società e diritti",Curno,IT,202210,2
,"Files della proposta","Società e diritti",Cutrofiano,IT,202210,1
,"Files della proposta","Società e diritti",Cuttack,IN,202210,1
,"Files della proposta","Società e diritti",Dallas,US,202210,7
,"Files della proposta","Società e diritti","Diano Marina",IT,202210,1
,"Files della proposta","Società e diritti",Drancy,FR,202210,1
,"Files della proposta","Società e diritti",Duncan,US,202210,2
,"Files della proposta","Società e diritti",Eboli,IT,202210,2
,"Files della proposta","Società e diritti","El Prat De Llobregat",ES,202210,1
,"Files della proposta","Società e diritti","El Salvador",GT,202210,1
,"Files della proposta","Società e diritti",Empoli,IT,202210,2
,"Files della proposta","Società e diritti",Faenza,IT,202210,3
,"Files della proposta","Società e diritti",Fairfield,US,202210,10
,"Files della proposta","Società e diritti",Felegara,IT,202210,3
,"Files della proposta","Società e diritti",Feletto,IT,202210,1
,"Files della proposta","Società e diritti",Feltre,IT,202210,1
,"Files della proposta","Società e diritti",Fiuggi,IT,202210,1
,"Files della proposta","Società e diritti",Fiumicino,IT,202210,2
,"Files della proposta","Società e diritti",Florence,IT,202210,11
,"Files della proposta","Società e diritti","Foiano Della Chiana",IT,202210,2
,"Files della proposta","Società e diritti",Fontana,US,202210,1
,"Files della proposta","Società e diritti",Forlì,IT,202210,2
,"Files della proposta","Società e diritti",Forlimpopoli,IT,202210,1
,"Files della proposta","Società e diritti",Formello,IT,202210,1
,"Files della proposta","Società e diritti",Fossano,IT,202210,1
,"Files della proposta","Società e diritti",Fregene,IT,202210,1
,"Files della proposta","Società e diritti",Gela,IT,202210,1
,"Files della proposta","Società e diritti",Geneve,CH,202210,1
,"Files della proposta","Società e diritti",Genova,IT,202210,5
,"Files della proposta","Società e diritti",Gigante,SV,202210,2
,"Files della proposta","Società e diritti",Ginosa,IT,202210,1
,"Files della proposta","Società e diritti","Gioia Del Colle",IT,202210,4
,"Files della proposta","Società e diritti",Giussago,IT,202210,3
,"Files della proposta","Società e diritti",Gonnostramatza,IT,202210,1
,"Files della proposta","Società e diritti","Gorla Maggiore",IT,202210,2
,"Files della proposta","Società e diritti",Granada,ES,202210,1
,"Files della proposta","Società e diritti",Grosseto,IT,202210,1
,"Files della proposta","Società e diritti",Grottaglie,IT,202210,1
,"Files della proposta","Società e diritti",Guido,IT,202210,3
,"Files della proposta","Società e diritti",Hanmer,CA,202210,1
,"Files della proposta","Società e diritti",Henderson,US,202210,1
,"Files della proposta","Società e diritti",Houston,US,202210,1
,"Files della proposta","Società e diritti",Imola,IT,202210,1
,"Files della proposta","Società e diritti",Innsbruck,AT,202210,2
,"Files della proposta","Società e diritti",Intra,IT,202210,1
,"Files della proposta","Società e diritti",Irapuato,MX,202210,1
,"Files della proposta","Società e diritti",Kittery,US,202210,1
,"Files della proposta","Società e diritti",Kolkata,IN,202210,3
,"Files della proposta","Società e diritti","La Courneuve",FR,202210,1
,"Files della proposta","Società e diritti",Ladispoli,IT,202210,1
,"Files della proposta","Società e diritti","La Guaira",VE,202210,1
,"Files della proposta","Società e diritti",Lainate,IT,202210,1
,"Files della proposta","Società e diritti","La Jolla",US,202210,1
