

--------------------------------
﻿"Report PKP per le statistiche d'uso"
"Report di default della PKP sulle statistiche d'uso. E' conforme a COUNTER"
"Metrica: ojs::counter"
"URL del report: https://riviste.unimi.it/index.php/SED/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":70,""month"":""202210""}"

,Tipo,Testata,Città,Nazione,Mese,Conteggio
,Articolo,"Società e diritti",Bari,IT,202210,3
,Articolo,"Società e diritti",Beamsville,CA,202210,1
,Articolo,"Società e diritti",Bologna,IT,202210,7
,Articolo,"Società e diritti","Bosisio Parini",IT,202210,1
,Articolo,"Società e diritti",Bovezzo,IT,202210,3
,Articolo,"Società e diritti",Brescia,IT,202210,3
,Articolo,"Società e diritti",Caivano,IT,202210,1
,Articolo,"Società e diritti",Camerino,IT,202210,1
,Articolo,"Società e diritti",Cattolica,IT,202210,3
,Articolo,"Società e diritti",Como,IT,202210,2
,Articolo,"Società e diritti",Correggio,IT,202210,1
,Articolo,"Società e diritti",Dallas,US,202210,1
,Articolo,"Società e diritti",Fairfield,US,202210,9
,Articolo,"Società e diritti",Florence,IT,202210,1
,Articolo,"Società e diritti",Forlì,IT,202210,2
,Articolo,"Società e diritti",Fossano,IT,202210,1
,Articolo,"Società e diritti",Fremont,US,202210,19
,Articolo,"Società e diritti",Friendswood,US,202210,1
,Articolo,"Società e diritti",Genova,IT,202210,1
,Articolo,"Società e diritti",Guido,IT,202210,1
,Articolo,"Società e diritti",Houston,US,202210,1
,Articolo,"Società e diritti",Lainate,IT,202210,4
,Articolo,"Società e diritti","La Jolla",US,202210,1
,Articolo,"Società e diritti",Lavis,IT,202210,1
,Articolo,"Società e diritti",Lecce,IT,202210,1
,Articolo,"Società e diritti",Littleton,US,202210,1
,Articolo,"Società e diritti",Massa,IT,202210,1
,Articolo,"Società e diritti",Mexico,MX,202210,3
,Articolo,"Società e diritti",Milan,IT,202210,25
,Articolo,"Società e diritti",Moncalieri,IT,202210,1
,Articolo,"Società e diritti",Montichiari,IT,202210,2
,Articolo,"Società e diritti","Mountain View",US,202210,6
,Articolo,"Società e diritti",Mumbai,IN,202210,4
,Articolo,"Società e diritti",Nancy,FR,202210,1
,Articolo,"Società e diritti",Napoli,IT,202210,1
,Articolo,"Società e diritti","Nocera Superiore",IT,202210,1
,Articolo,"Società e diritti",Oakland,US,202210,251
,Articolo,"Società e diritti","Olevano Romano",IT,202210,3
,Articolo,"Società e diritti",Omegna,IT,202210,1
,Articolo,"Società e diritti",Padua,IT,202210,1
,Articolo,"Società e diritti",Pannes,FR,202210,2
,Articolo,"Società e diritti",Péfki,GR,202210,3
,Articolo,"Società e diritti",Perugia,IT,202210,2
,Articolo,"Società e diritti",Pimonte,IT,202210,2
,Articolo,"Società e diritti",Pisa,IT,202210,1
,Articolo,"Società e diritti",Pistoia,IT,202210,1
,Articolo,"Società e diritti",Pozzuoli,IT,202210,1
,Articolo,"Società e diritti",Ravenna,IT,202210,1
,Articolo,"Società e diritti",Reading,GB,202210,1
,Articolo,"Società e diritti","Redwood City",US,202210,9
,Articolo,"Società e diritti",Rome,IT,202210,13
,Articolo,"Società e diritti",Salento,IT,202210,1
,Articolo,"Società e diritti",Salerno,IT,202210,4
,Articolo,"Società e diritti","San Ferdinando",IT,202210,1
,Articolo,"Società e diritti","San Francisco",US,202210,2
,Articolo,"Società e diritti","Santa Teresa Di Riva",IT,202210,1
,Articolo,"Società e diritti","Sant'elpidio A Mare",IT,202210,2
,Articolo,"Società e diritti",Santiago,CL,202210,1
,Articolo,"Società e diritti",Seregno,IT,202210,1
,Articolo,"Società e diritti",Siena,IT,202210,6
,Articolo,"Società e diritti",Sommacampagna,IT,202210,1
,Articolo,"Società e diritti",Southend,GB,202210,80
,Articolo,"Società e diritti","Torre Del Greco",IT,202210,1
,Articolo,"Società e diritti",Vigevano,IT,202210,8
,Articolo,"Società e diritti",Vittuone,IT,202210,3
,Articolo,"Società e diritti",Windsor,US,202210,3
,Articolo,"Società e diritti",Wroclaw,PL,202210,4
,Articolo,"Società e diritti",,,202210,66
